Paper/Book,Authors,Year,Type of study,Industrial/Academic,"Reference Archi-
tecture?","AI-Agentic
Features","Human
Role",Results,Key Findings,Open Questions,Link,Column 1
"Human-Artificial Interaction in the Age of
Agentic AI: A System-Theoretical Approach","Uwe M. Borghoff
, Paolo Bottoni
, and Remo Pareschi",2025,Theoretical & Conceptual,Academic,Yes (Communication Spaces),"Multi-agent systems (MAS): Focused on coordination among autonomous entities through structured communication.
Centaurian systems: Characterized by deep integration of human and AI capabilities into a functionally unified entity.","In MAS, humans are independent agents collaborating with AI via well-defined communication protocols.
In Centaurian systems, humans deeply integrate their cognitive and decision-making capabilities with AI, creating a unified composite entity with blurred boundaries.",Introduces layered architecture to support MAS and Centaurian integration using Petri nets,"The distinction between MAS and Centaurian systems is not strict; rather, practical systems may dynamically blend these paradigms to optimize performance.
The adaptability of systems can significantly improve by integrating agentic AI through structured coordination in MAS and emergent behaviors in Centaurian integration.
Continuous learning and adaptation (data flywheel effect) are essential for evolving human-AI integration patterns.
","How to dynamically switch between MAS and Centaurian modes in real-time systems? How to scale the framework in complex, high-load environments?",https://arxiv.org/pdf/2502.14000,
"Deconstructing Human-AI Collaboration: Agency, Interaction, and Adaptation","Steffen Holter, Mennatallah El-Assady",2024,Conceptual model,Academic,No,"AI agents are analyzed in terms of their ability to act autonomously, interact with humans, and adapt to evolving tasks and environments. The study categorizes different AI roles, from assistants to autonomous agents.","Humans play an active role in shaping AI behavior by interacting with AI systems, providing feedback, and adapting to the AI’s evolving capabilities. They influence AI decisions and system adaptability.","Proposes a new conceptual model to analyze and describe human-AI systems, focusing on three main categories: agency, interaction, and adaptation. The model is developed through literature studies and semi-structured interviews with researchers in the field.","Introduces a unified set of dimensions to characterize human-AI collaboration, facilitating comparison and analysis of different systems.",How can this model be practically applied to improve the design and implementation of human-AI collaboration across different domains?,https://arxiv.org/abs/2404.12056,
Human-AI Collaboration in Real-World Complex Environment with Reinforcement Learning,"Md Saiful Islam, Srijita Das, Sai Krishna Gottipati, William Duguay, Clodéric Mars, Jalal Arabneydi, Antoine Fagette, Matthew Guzdial, Matthew E. Taylor",2023,Empirical Study,Academic,No,AI-driven drones operate autonomously to detect and neutralize threats but adapt their strategies based on real-time feedback from human operators. The AI agents use reinforcement learning to continuously improve their decision-making and coordination with human teams.,"Human operators oversee and guide AI drones, providing strategic input, setting objectives, and intervening when necessary. They collaborate with AI by adjusting tactics and making high-level decisions, ensuring that the AI’s actions align with mission goals.",Develops a new simulator for critical infrastructure protection where AI-driven drones and human teams collaborate to defend an airport against hostile drone attacks. The study shows that human-AI collaboration outperforms both fully human-controlled and fully autonomous AI agents in this complex simulation environment.,"Demonstrates that human-AI collaboration can lead to faster learning, lower cognitive and time burden for humans, and higher performance compared to solely human or solely AI control.",How can these results be transferred to other domains and real-world scenarios outside the simulation environment? What are the long-term effects of such collaboration on human operators' skills and decision-making?,https://arxiv.org/abs/2312.15160,
Human-in-the-loop machine learning: a state of the art,"Eduardo Mosqueira-Rey, Elena Hernández-Pereira, David Alonso-Ríos, José Bobes-Bascarán, Ángel Fernández-Leal",2022,Literature Review,Academic,No,"AI systems are designed to incorporate human input at various stages of the learning process, utilizing strategies such as active learning, interactive machine learning, and machine teaching to enhance model performance and adaptability.","Humans actively participate by labeling data, providing feedback, structuring training examples, and interpreting model outputs, thereby guiding and improving the machine learning process.","The paper reviews various techniques that facilitate human involvement in machine learning, including active learning, interactive machine learning, machine teaching, curriculum learning, and explainable AI. It clarifies definitions, delineates boundaries between methods, and explores their interconnections, aiming to provide a comprehensive understanding of human-in-the-loop approaches.","Emphasizes the importance of human involvement in machine learning to create models that are not only accurate but also usable and useful, highlighting the roles of Usable AI and Useful AI in ensuring successful AI systems.",How can the integration of human input be optimized across different machine learning approaches to balance efficiency and model performance? What are the long-term impacts of human-in-the-loop strategies on the evolution of machine learning systems?,https://link.springer.com/article/10.1007/s10462-022-10246-w,
The Human in the Infinite Loop: A Case Study on Revealing and Explaining Human-AI Interaction Loop Failures,"Changkun Ou, Daniel Buschek, Sven Mayer, Andreas Butz",2022,Case Study,Academic,No,AI systems generate variations of 3D models based on user preferences and iteratively optimize results through human feedback.,"Humans provide preference feedback by rating 3D model variations, guiding the AI system's optimization process.","Developed a prototype human-in-the-loop system for preference-guided 3D model processing, used by two 3D artists over three months. Found that the human-AI loop often did not converge to satisfactory results. A subsequent lab study (N=20) investigated these failures, revealing that optimization using preferential choices lacks mechanisms to handle inconsistent human judgments, and that machine outcomes influence future user inputs via heuristic biases and loss aversion.","Highlighted challenges in human-AI loops, particularly the impact of inconsistent human judgments and heuristic biases on system performance. Proposed UI design guidelines to mitigate these issues.",How can human-in-the-loop systems be designed to effectively manage inconsistent human feedback and mitigate heuristic biases to ensure convergence towards satisfactory outcomes?,https://arxiv.org/abs/2207.12761,
Towards Responsible Generative AI: A Reference Architecture for Designing Foundation Model based Agents,"Qinghua Lu, Liming Zhu, Xiwei Xu, Zhenchang Xing, Stefan Harrer, Jon Whittle",2024,Conceptual Design,Academic,Yes,"Foundation models, such as large language models (LLMs), enable agents to autonomously decompose goals into tasks and orchestrate their execution. The paper proposes a reference architecture incorporating architectural patterns to ensure responsible AI practices.","Humans are involved in defining goals and providing feedback, guiding the agents' task decomposition and execution processes. Their input is crucial for aligning AI behaviors with ethical standards and expectations.","The study presents a pattern-oriented reference architecture for designing foundation model-based agents, emphasizing responsible AI attributes like security and accountability. The architecture's completeness and utility are evaluated by mapping it to two real-world agents: MetaGPT and HuggingGPT.","Introduces a structured framework for designing AI agents that align with responsible AI principles, addressing challenges related to security and accountability.",How can the proposed reference architecture be adapted to various application domains? What are the practical challenges in implementing responsible AI practices within this framework?,https://arxiv.org/abs/2311.13148,
Designing the Intelligent Organization: Six Principles for Human-AI Collaboration,Vegard Kolbjørnsrud,2024,Conceptual Study,Academic,No,"AI systems can sense, understand, act, and learn in complex environments, enabling large-scale automation of routine tasks and mass customization of products and services.","Humans oversee and guide AI systems, define goals, and provide feedback to ensure AI actions align with organizational objectives and ethical standards.","The paper introduces six principles for human-AI collaboration in organizations: addition, relevance, substitution, diversity, collaboration, and explanation. It discusses how leading organizations apply these principles and provides practical guidelines for leaders to successfully integrate AI into their organizations.","Highlights the importance of leveraging complementary strengths of humans and AI to enhance organizational intelligence, requiring careful design of collaboration dynamics and clear explanations of AI decisions.",How can organizations best implement these six principles across different industries and cultural contexts? What are the long-term effects of human-AI collaboration on workforce skills and job roles?,https://journals.sagepub.com/doi/full/10.1177/00081256231211020,
Agentic AI: Scalable & Responsible Deployment of AI Agents in the Enterprise,Debmalya Biswas,2025,Technical Report / Conceptual Guide,Industrial,"Yes – Layered architecture (Marketplace, Orchestration, Memory, Governance, etc.)","Multi-agent orchestration, long-term memory, personalization, explainability, LLM integration","Human-in-the-loop oversight, ethical review, intervention in decision-making","Presents a scalable, modular reference architecture for deploying AI agents with built-in governance and personalization","Describes how agentic AI can be deployed responsibly, with components supporting autonomy, memory, user adaptation, and oversight",How to adapt enterprise-grade agentic architectures to high-risk domains like healthcare? How to measure the effectiveness of human oversight?,https://www.researchgate.net/publication/388141728_Agentic_AI_Scalable_Responsible_Deployment_of_AI_Agents_in_the_Enterprise,
"Collaborating with AI Agents: Field Experiments on Teamwork, Productivity, and Performance","Harang Ju, Sinan Aral",2025,Experimental Field Study,Academic (MIT),"Implicit in MindMeld collaboration platform (modular, real-time, agent-human interface)","Real-time semi-autonomous agents, personalized AI behavior, collaborative editing, LLM-based responses","Humans co-create with AI, guide output, provide feedback, act as quality controllers","Human-AI teams showed higher individual productivity, better text quality; social interaction decreased",AI agents improved productivity and output quality; AI personality impacts collaboration quality; importance of AI-human alignment,How to generalize team performance outcomes across domains? How to fine-tune AI behavior in sensitive domains like healthcare or elderly care?,https://arxiv.org/pdf/2503.18238,
Building Appropriate Mental Models: What Users Know and Want to Know about an Agentic AI Chatbot,"Michelle Brachman, Siya Kunde, Sarah Miller, Ana Fucs, Samantha Dempsey, Jamie Jabbour, Werner Geyer",2025,User Study,Academic,No,"The agentic AI system ""Gent"" autonomously breaks down complex queries, retrieves information, cites sources, and explains its reasoning. The system can access external tools (Google, Wikipedia, Python interpreter) and dynamically determine the actions it should take.","Users interact with the AI chatbot for information-seeking tasks, relying on the system's reasoning and sources to evaluate accuracy. Users express a need for more transparency and better explanations regarding how the system selects actions and sources.","Participants’ mental models were primarily search-based, and they evaluated accuracy using cited sources. Many lacked an understanding of how the AI selected actions. Users requested more transparency in source prioritization and system decision-making. The study highlights the need for fine-grained source attribution and system confidence indicators.","Users need better explanations for AI decision-making and transparency regarding how actions are chosen. Overreliance on AI can be a risk, so explanations should focus on critical insights rather than overwhelming detail. Allowing users to modify sources and intervene in AI decisions could enhance trust and usability.",How can AI systems best balance transparency and usability without overwhelming users? How should AI confidence levels be communicated effectively? What strategies reduce overreliance on agentic AI systems?,https://dl-acm-org.proxy.lnu.se/doi/full/10.1145/3708359.3712071,
An Introduction to MultiAgent Systems,Michael Wooldridge,2002,Theoretical / Educational (Textbook),Academic,no specific reference architecture),"Autonomy, proactiveness, reactivity, social ability, agent architectures",Not the focus (humans discussed abstractly),"Defines formal concepts and types of agents, architectures, and multiagent systems",Foundational definitions of agents and their behaviors; types of agent communication and coordination,How to adapt classical agent theory to LLM-based or modern AI systems,,
Artificial Intelligence: A Modern Approach,Russell & Norvig,2021,Textbook / Theoretical	,Academic,Indirectly yes (agent models),"Autonomy, goal-pursuit, reasoning","Optional, not central",Foundations of AI agent design,"Defines rational agents, behavior types, architectures",How to extend agent models for agentic AI,,
Agentic Large Language Models: A Survey,"Aske Plaat,
Max van Duijn,
Niki van Stein,
Mike Preuss,
Peter van der Putten,
Kees Joost Batenburg,",2025,Survey,Academic,Yes (implicitly via agentic taxonomy),"Reasoning, tool use, memory, reflection, interaction","Supervisory, collaborative roles in simulations","Categorized 80+ studies into reasoning, acting, and interacting","Agentic behavior is modular, extensible, and socially emergent",How to design safe and grounded agentic systems?,,
Agent Design Pattern Catalogue,"Yue Liu, Sin Kit Lo, Qinghua Lu, Liming Zhu, Dehai Zhao, Xiwei Xu, Stefan Harrer, Jon Whittle",2024,Pattern catalog,Academic/Applied,Yes — design-level patterns,"Goal-directed behavior, reflection, tool use","Supervisor, task setter, co-agent",17 patterns defined with tradeoffs & consequences,Offers reusable solutions for agentic system components,How to compose patterns into full reference architectures,https://arxiv.org/html/2405.10467v2,
"Human-AI collaboration is not very collaborative yet: A taxonomy of interaction
patterns in AI-assisted decision making from a systematic review","CATALINA GOMEZ,SUE MIN CHO,SHICHANG KE,CHIEN-MING HUANG,MATHIAS UNBERATH,",2024,Systematic review,Academic	,"No architecture, but taxonomy of use","Decision-support, explainability",Mixed — from delegation to override,"Analyzes 105 studies, defines collaboration gaps","Proposes collaboration patterns (override, iteration, etc.)","How to improve trust, interactivity, transparency",https://arxiv.org/pdf/2310.19778,
"An Architectural Style for Self-Adaptive
Multi-Agent Systems","DANNY WEYNS, KU Leuven",2019,"Theoretical, pattern-based",Academic,"Yes, full architectural style","Self-adaptation, openness, indirect coordination",Not the focus (humans discussed abstractly),Introduces reusable patterns for MAS,Shows how architectural styles guide system evolution,Applying styles to human-agent hybrid teams,https://arxiv.org/pdf/1909.03475,
"Design patterns for human-AI co-learning: A wizard-of-Oz evaluation in an
urban-search-and-rescue task ","Tjeerd A.J. Schoonderwoerd , Emma M. van Zoelen ,
, Karel van den Bosch , Mark A. Neerincx,",2022,"Experimental, qualitative",Academic,"No, but design patterns applicable","Learning, co-adaptation, situational awareness","Peer/co-learner, task collaborator",Co-learning patterns improve understanding and trust,Introduces formal Learning Design Patterns (LDPs),Generalizability beyond experimental setup,https://pdf-sciencedirectassets-com.proxy.lnu.se/272548/1-s2.0-S1071581922X00050/1-s2.0-S107158192200060X/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOj%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCust%2Fv0Oxz%2BIKysgGU5lyVY9adEhtckEyg3YNwgbmtVQIhAKpu7XsVIj%2BvfXOPJtX1mFhoe09hj2CJQRh4M2%2FfLMjFKrMFCGEQBRoMMDU5MDAzNTQ2ODY1Igzb%2B2je%2FjSFPr8K2zEqkAX5l0LbJT2mUkUdbjqRJxR31H1zd7904f2I13cKV0uZqLJW7uD%2FnjBGHze5u1XMMOIGguRPFeCwSCU44FBAh4%2F5B8z5d7llzcF%2BTa8ZoCQuhwTRmguUpmS%2BXCmCzTevXKeOXV0PfEAUskG4RTq0ohhY11X%2FW2uinLDdaP7hMNajC72QikKKuAHh0hOtTgVkjnFGXE99BrNluJfaifNh9HSvTSweOcU62cbZYDivKPww3Mp9RprjHcnycDJs8p%2FMFoLUqAFzSp7c1UT%2FO5LT9qXE8aBjUv%2FRAEV2oM2gOffemBCKZqtKJnegchUazu2aZAE407ESGsqRYatmzao2zNsA25CGc5ZYAfUDcPzWDpyUXSsC5%2FSY4fMMieZ17eHNTQ7eO0A4l234WMEActQqqRJSVCMBW5lksxY%2BFebeUlmDH7Rf0RZ7YgJsydYjy1ZUrJI3SIFpLxnLYE0xSukGAhW7JYcURC7%2FTyV0BXxwyR70zmQqz7dIcfVrXOEejZEMD9vjjwk7AYSxax17Q2aQrwzOAK5owLeRfJHtq7erzAPEvgaMuPuoCA7d8hswax9kGRpHNhgv9Ft0SjXC7EdiJHMCARi%2BnV8rhRdi7x1rfjq%2Bz8MUH6viy%2Bsh13bA7dHMVaRHy4GOAduPyWMOZTH02C57o0vgc99dJIYQLqACqswI7onGKvsoBy%2FI5AnoKbMUJ7z279WVM0nWlUrDB%2B3M0jr%2Fx92H7G5T1LvQ2NdJWWKsb%2FI7zPN2Td166Vkh3k8ow3%2BqoTLDh5nLcHpQlIXL%2B1iEvQOJEmkai0JxFD5SfsLcot2HVStqs2WEOp9k74k5FXNUSgDnbfKTexCUNHKYMrZrP5rm4ENB1Lw8I83e7ztjZzD63M%2B%2FBjqwARkDDp80xgubw1Zn7NKej0vuPWR9PIMvPfvOu3JYBJSbl64y1nfTVIL9l35Xyc1iQSWnHrjneVCDWkvYxvB4gi647xKpSYp1VKiSzP51Ko0M9uaNV8TCGrsAKR%2F1lqcMmBEB2ZgY0CyAjgWWhmYx77UwQRIDIkPYVOZmzBdHvMTE2142vOQXSenG8CiVrE5Ljtx8XyUVMxup%2BHEG4dj5rv%2Bi%2BJLxJcba9azY29GNgMt0&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250407T155340Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3DVZO7F3%2F20250407%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a5d80668a94474c50fde3b9bb9944c940a145a530234550b30bea84eba1e893e&hash=b8e3d7321b76e12e7a680f8397fd2964a76807ace07f711471ceeeeebe4fa7e2&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S107158192200060X&tid=spdf-a0fc578f-dcff-4002-9009-364f92f48b79&sid=ddd19ffc7ba3f5442338b5921fa29db4aef6gxrqb&type=client&tsoh=d3d3LXNjaWVuY2VkaXJlY3QtY29tLnByb3h5LmxudS5zZQ%3D%3D&rh=d3d3LXNjaWVuY2VkaXJlY3QtY29tLnByb3h5LmxudS5zZQ%3D%3D&ua=09045b5504050351055c&rr=92cab2f8ae49be53&cc=se&kca=eyJrZXkiOiJFaDJmWGMwcXQxc2lhOEFhSmZQdDFpNW9kQXRqdDYvU0U4cmhMTTRvdzdlUGQwQ0UyVTYrdXhObE5RVy95M0gwajg0eXdqSkk2WFREY3hmOVo3SHZ2cUlSMXFMZFIyaTVnbGE5RE9UZU53amZMbDVnYlpVRXBPK1R4UzFRbE5PbGRsV0VCYWtXWVpnZGYxT3RnSzRkNEZZWCswbERLNmZqU05MSEpOaTdQWTFhcGxLQUNnPT0iLCJpdiI6IjBhYmFlMDZlMWUwNzc5MDM2YzA2ZGUwZGFkNTY5NDUzIn0=_1744041229385,
Agentic AI: Autonomous Intelligence for Complex Goals—A Comprehensive Survey,"Deepak Bhaskar Acharya, Karthigeyan Kuppan, B. Divya",2025,Survey,Academic,Yes (High-level framework discussed),"Autonomy, goal-directed behavior, adaptability, memory, tool use, learning, ethical governance","Human-in-the-loop, human-on-the-loop, oversight, collaboration","Provides a comprehensive taxonomy and evaluation of Agentic AI systems, methods, and applications","Agentic AI integrates autonomy, adaptability, planning, and ethics to handle complex goals; needs human oversight and governance mechanisms","How to align agent goals with human values, ensure explainability, improve scalability, and manage ethical risks",https://ieeexplore-ieee-org.proxy.lnu.se/stamp/stamp.jsp?tp=&arnumber=10849561,
Humans in the Loop: The Design of Interactive AI Systems,Ge Wang,2019,Conceptual Essay,Academic,No,Yes – Discusses AI as a tool with adjustable autonomy,Central – Human as co-creator and decision-maker,Presents design principles for integrating human interaction in AI systems,Emphasizes the importance of human agency in AI design; advocates for interactive systems that balance automation with meaningful human involvement,How can designers effectively balance automation with human input to enhance creativity and meaning?,https://hai.stanford.edu/news/humans-loop-design-interactive-ai-systems,
"Software Architecture in Practice (pp. 34–36, 299–300, 305)","Len Bass, Paul Clements, Rick Kazman",2021,Academic textbook / design framework,Academic / SEI-backed,"Yes – Reference architectures discussed as reusable, customizable base structures",No specific AI-agentic features,"Architects as designers, decision-makers, and evaluators",Explains how reference architectures can guide consistent system design across product families,"Reference architectures help define fixed/variable elements, and support reuse, incremental design, and gap analysis","How to automate or evaluate reference architecture fit in fast-changing, AI-driven or microservice contexts",https://www.oreilly.com/library/view/software-architecture-in/9780136885979/,
Generative Agents: Interactive Simulacra of Human Behavior,"Joon Sung Park, Joseph C. O'Brien, Carrie J. Cai, Meredith Ringel Morris, Percy Liang, Michael S. Bernstein",2023,Conceptual + System implementation + User study,Academic (Stanford),"No explicit reference architecture, but modular components serve similar purpose","Yes – Agents with memory, reflection, planning, and autonomous behavior","Human is observer, social peer, and system designer",Introduces modular generative agents that interact and simulate believable social behavior in a sandbox world,"Modular architecture with memory, planning, and reflection enables realistic, agentic behavior and interaction",How can such agents generalize to real-world contexts? What are limits of LLM-based internal reasoning?,https://arxiv.org/abs/2304.03442,
Practices for Governing Agentic AI Systems,"Y. Shavit, S. Agarwal, M. Brundage, S. Adler, C. O’Keefe, R. Campbell, T. Lee, P. Mishkin, T. Eloundou, A. Hickey, K. Slama (OpenAI)",2023,Industry white paper (grey literature),Industrial,"No formal reference architecture, but proposes governance design patterns","Yes – Agent autonomy, monitoring, transparency, accountability",Human as supervisor and governor with validation roles,"Outlines practices like constrained action spaces, automatic monitoring, and legibility",Governance must be designed from the start; explainability and safety mechanisms are essential for agentic systems,How to enforce governance reliably at scale? How to balance autonomy with control in complex settings?,https://cdn.openai.com/papers/practices-for-governing-agentic-ai-systems.pdf,
Expanding Explainability: Towards Social Transparency in AI Systems,"U. Ehsan, Q. V. Liao, M. Muller, M. O. Riedl, J. D. Weisz",2021,Peer-reviewed conceptual + empirical HCI study,Academic,"No, but proposes interaction design principles",Yes – AI as decision-making agent requiring human-centered transparency,"Human as interpreter, overseer, and co-decider",Proposes social transparency as a richer model of explainability for AI systems,AI systems must communicate decisions in a socially meaningful way; interpretability must support human context and judgment,How can social transparency be standardized? How to adapt across different user roles and trust levels?,https://arxiv.org/pdf/2101.04719,
"A modular multi-agent framework for innovation diffusion in changing business environments: conceptualization, formalization and implementation","S. Johanning, F. Scheller, D. Abitz, C. Wehner, T. Bruckner",2020,Conceptual + formal framework with prototype implementation,Academic,"	Yes – proposes a modular, reusable agentic framework adaptable across domains","Yes – Agents with defined roles, behaviors, and dynamic interactions","Human as system designer, domain modeler, and evaluator","Proposes a formalized, domain-adaptable multi-agent framework for complex decision-making environments","Modular agentic frameworks support extensibility, standardization, and cross-domain application (e.g. business, infrastructure, policy)","How to generalize the approach across more varied real-world sectors like healthcare, education, and governance?",https://casmodeling.springeropen.com/articles/10.1186/s40294-020-00074-6#citeas,
MetaGPT: Meta Programming for a Multi-Agent Collaborative Framework,"S. Hong, M. Zhuge, J. Chen, et al.",2024,System design + benchmarking,Industrial & Academic,Yes – SOP-based modular multi-agent framework,"Yes – Role-based agents, SOPs, structured communication, runtime feedback","Human-inspired roles like Product Manager, QA, Architect; agents simulate these","Outperforms AutoGPT, ChatDev, etc. on HumanEval and MBPP; higher success and code quality",SOPs reduce errors and improve task structure; structured outputs improve collaboration,Can agent frameworks generalize to non-software domains? How to scale human feedback?,https://arxiv.org/pdf/2308.00352,
HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,"Y. Shen, K. Song, X. Tan, D. Li, et al.",2023,System design + experiments across modalities,Academic & Industrial,"Not explicitly, but follows controller-executor agentic model","Yes – Task planning, model selection, coordination via LLMs",Human acts as requester; LLM plans & executes tasks,Handles multimodal tasks via expert model orchestration,LLMs as controllers can plan/coordinate heterogeneous agents; language is unifying interface,How to improve planning reliability and task orchestration?,arXiv / GitHub,
From Human Memory to AI Memory: A Survey on Memory Mechanisms in the Era of LLMs,"Y. Wu, S. Liang, C. Zhang, et al.",2025,Survey study,Industrial (Huawei Noah's Ark Lab),"No, but categorizes memory across object, form, and time","Yes – memory-based agents with short/long-term, parametric/non-parametric memory",Human-inspired: memory modeled after cognitive processes,Introduces 3D-8Q taxonomy and links human/AI memory types,"Memory systems in LLMs need to model personal, procedural, and episodic memory akin to humans",How to implement dynamic and generalizable long-term memory at scale?,,
